ID,title,artist,artist_filtered,year,gender,points,n,n1,n2,n3,n4,n5,appears_once,appears_twice
191,Queen Bitch,Lil’ Kim,Lil’ Kim,1996,female,6,1,0,0,1,0,0,TRUE,FALSE
192,Self Control,Frank Ocean,Frank Ocean,2016,male,6,1,0,0,1,0,0,TRUE,FALSE
193,Still Tippin’,Mike Jones,Mike Jones,2004,male,6,1,0,0,1,0,0,TRUE,FALSE
194,Sub City,Stogie T,Stogie T,2016,male,6,1,0,0,1,0,0,FALSE,TRUE
195,Swimming Pools (Drank),Kendrick Lamar,Kendrick Lamar,2012,male,6,1,0,0,1,0,0,FALSE,FALSE
196,The Blacker The Berry,Kendrick Lamar,Kendrick Lamar,2015,male,6,1,0,0,1,0,0,FALSE,FALSE
197,The Story Of OJ,JAY-Z,JAY-Z,2017,male,6,1,0,0,1,0,0,FALSE,FALSE
198,Trap Beldi,Issam,Issam,2018,male,6,1,0,0,1,0,0,TRUE,FALSE
199,Verbal Intercourse,Raekwon ft. Ghostface Killah and Nas,Raekwon ft. Ghostface Killah and Nas,1995,male,6,1,0,0,1,0,0,TRUE,FALSE
200,Vicious Rap,Tanya ‘Sweet Tee’ Winley,Tanya ‘Sweet Tee’ Winley,1980,female,6,1,0,0,1,0,0,TRUE,FALSE
201,What About Me,Lil Boosie,Lil Boosie,2007,male,6,1,0,0,1,0,0,TRUE,FALSE
202,Worst Behavior,Drake,Drake,2013,male,6,1,0,0,1,0,0,FALSE,FALSE
203,You Got Me,The Roots ft. Erykah Badu,The Roots ft. Erykah Badu,1999,mixed,6,1,0,0,1,0,0,TRUE,FALSE
204,Mona Lisa,Slick Rick,Slick Rick,1988,male,4,2,0,0,0,0,2,FALSE,TRUE
205,Witness (1 Hope),Roots Manuva,Roots Manuva,2001,male,4,2,0,0,0,0,2,TRUE,FALSE
206,1 Train,ASAP Rocky,ASAP Rocky,2013,male,4,1,0,0,0,1,0,TRUE,FALSE
207,Ambitionz Az A Ridah,2Pac,2Pac,1996,male,4,1,0,0,0,1,0,FALSE,FALSE
208,Award Tour,A Tribe Called Quest,A Tribe Called Quest,1993,male,4,1,0,0,0,1,0,FALSE,FALSE
209,Baby Got Back,Sir Mix-A-Lot,Sir Mix-A-Lot,1992,male,4,1,0,0,0,1,0,TRUE,FALSE
210,Bastard,Tyler The Creator,Tyler The Creator,2009,male,4,1,0,0,0,1,0,TRUE,FALSE
211,Black Ice,Goodie Mob ft. OutKast,Goodie Mob ft. OutKast,1998,male,4,1,0,0,0,1,0,TRUE,FALSE
212,Boyz-n-the-Hood,Eazy-E,Eazy-E,1988,male,4,1,0,0,0,1,0,TRUE,FALSE
